Locality,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Latitude,Longitude,About,Type,Facilities,Vote_Count,Known_For,Name,Contact,Price_for_2,Cuisine,Rating,Chain_Name
" East Patel Nagar, New Delhi",164.0,3.9,155.0,https://www.zomato.com/ncr/pinjore-east-patel-nagar-new-delhi,"1/4, Ground Floor, East Patel Nagar, New Delhi",28.645393,77.170254,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Parking Available, Family Dining]",,"Tandoori Paneer Momos, Kurkure Momo, Butter Naan, Dal Makhni, Paneer Tikka, Snacks | Drive through, Not very Crowded, Economical, Inexpensive, Polite Staff, Prompt Service",Pinjore,9.1114E+11,1900.0,"Mughlai, North Indian, Asian, Pasta, Pizza, Momos, Desserts, Beverages",4.0,Pinjore
" Chander Nagar, New Delhi",1020.0,3.9,21600.0,https://www.zomato.com/ncr/jeet-restaurant-1-chander-nagar-new-delhi,"81, Main Road, Chander Nagar, New Delhi",28.65500045,77.28217889,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Jeera Drink, Barbecue Wings, Potato Crunch, Mushroom Patty, Chicken Burger, Momos | Bang for the Buck, Not very Crowded, Cute Little Place, Prompt Service, Good Packaging, Polite Staff",Jeet Restaurant,9.18376E+11,400.0,"North Indian, Chinese",4.0,Jeet
" Sector 50, Noida",538.0,4.1,13100.0,https://www.zomato.com/ncr/burger-singh-big-punjabi-burgers-sector-50-noida,"B-1/19, Gautam Buddha Nagar, Sector 50, Noida",28.57060845,77.36198567,Burger Singh is a chain of quick service restaurants serving mouth-watering wraps and burgers along ...  Read more,Fast Food,"[Air Conditioning, Home Delivery, Parking Available, Takeaway Available, Credit Card Accepted, Digital Wallet Accepted]",,Good Food and Service,Burger Singh - Big Punjabi Burgers,9.18767E+11,400.0,"Burger, Fast Food, Beverages",4.0,Burger Singh
" Rohini, New Delhi",258.0,,0.0,https://www.zomato.com/ncr/south-indian-corner-rohini-new-delhi,"26, DDA Market, Sector 13, Rohini, New Delhi",28.72386856,77.12741576,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Fried Cheese, Cheesy Garlic Bread, Peri Fries, Grilled Sandwich, Sandwiches, Pasta | Intimate Seating, Serving Time, Customer Service, Reasonable Prices, Cafe, Amazing Place",South Indian Corner,9.11132E+11,250.0,"South Indian, Chinese, North Indian",4.0,South Indian Corner
" Lajpat Nagar 4, New Delhi",167.0,4.1,650.0,https://www.zomato.com/ncr/brewtoast-lajpat-nagar-4-new-delhi,"Shop 3, C 17, Lajpat Nagar 4, New Delhi",28.5621159,77.24440064,,Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Full Bar Available, Serves Alcohol]",,"Balcony Area, Beautiful View, Calm, Authentic Food, Cozy Place, Decor",Brewtoast,9.19812E+11,450.0,"Italian, Fast Food, Beverages",4.0,Brewtoast
" Hauz Khas Village, New Delhi",380.0,3.9,374.0,https://www.zomato.com/ncr/lama-kitchen-hauz-khas-village-new-delhi,"2nd Floor, 50 A, Hauz Khas Village, New Delhi",28.55361384,77.19435867,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment]",,"Peanut Butter Waffle, Oreo Waffle, Crepes, Nutella Waffle, Kit Kat Shake, Oreo Shake | Table Service, Pocket Friendly, Owner, Ambiance, Best Place, Good Place, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment",Lama Kitchen,9.19811E+11,700.0,"Nepalese, Tibetan, Asian",4.0,Lama Kitchen
" Vijay Nagar, New Delhi",265.0,4.3,2103.0,https://www.zomato.com/ncr/the-waffle-co-vijay-nagar-new-delhi,"G 24, Hudson Lane, Vijay Nagar, New Delhi",28.6951063,77.20313787,"Madira is a casual dining restaurant specializing in Chinese, Continental and North Indian dishes. This restaurant uses an array of seasoning and herbs to prepare mouth-watering food. They specialize in serving flavorsome curries and zesty starters for those who like spicy and peppery food. The restaurant has a warm and comforting ambiance that makes it a perfect place to de-stress. The friendly attendants provide a splendid service. With a reasonably priced menu, you can gorge on delicious food served with a blend of tangy flavors. This outlet is located in Satya Niketan, South Delhi. Read less",Dessert/Bakery,"[Air Conditioning, Parking Available, Credit Card Accepted, Digital Wallet Accepted]",,"Matki Chicken, Momo Platter, Tandoori Mushrooms, Kurkure Momo, Panneer Butter Masala, Chilly Chicken | Chirpy Crowd, Cute Little Place, Tandoori, Polite Staff, Reasonable Prices, Prompt Service",The Waffle Co.,9.19911E+11,300.0,Desserts,4.0,The Waffle Co.
" Janakpuri, New Delhi",943.0,3.9,20400.0,https://www.zomato.com/ncr/sighri-janakpuri-new-delhi,"1, A2A Market, Vardhaman Plaza, Janakpuri, New Delhi",28.62519838,77.07627039,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Great Menu, Served Quickly, Variety of Pizza, Good Wifi, Student Crowd, Weekend Brunch",Sighri,9.19711E+11,700.0,"North Indian, Mughlai, Chinese, Momos, Rolls",4.0,Sighri
" Badarpur Border, Faridabad",253.0,3.9,132.0,https://www.zomato.com/ncr/pizza-king-badarpur-border-faridabad,"Shop 5, Kernal Market, Jaitpur 2, Badarpur Border, Faridabad",28.50827105,77.33441256,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Chocolate Mousse, Beers, Cocktail, Drink, Chicken Wings, Meat | Rock Music, Live Band, Live Performances, Amazing Music, Awesome Music, Live Music",Pizza King,9.2E+11,500.0,"Pizza, Fast Food",4.0,Pizza King
" Connaught Place, New Delhi",990.0,,0.0,https://www.zomato.com/ncr/blues-connaught-place-new-delhi,"N-18, Outer Circle, Connaught Place, New Delhi",28.63021012,77.22078279,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available, Full Bar Available, Serves Alcohol]",,"Bhalla Papdi, Golgappe, Chole Bhature, Chowmein, Sweets, Gulab Jamun | Good for Small Groups, Nice/Colourful Packaging, Cleanliness, Family Crowd, Good Taste, Proper Packaging",Blues,9.17827E+11,1100.0,"Continental, North Indian, Mughlai, Chinese, Finger Food, Beverages",4.0,Blues
" Uttam Nagar, New Delhi",481.0,4.1,20300.0,https://www.zomato.com/ncr/grover-sweets-3-uttam-nagar-new-delhi,"1, Diwan Estate, Bhagwati Garden, Near Dwarka Mod Metro Station, Uttam Nagar, New Delhi",28.619322,77.03255542,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Great Recommendations, Spicy, Packing, Ambience, Good Food, Quantity",Grover Sweets,9.19654E+11,300.0,"Street Food, North Indian, Chinese",4.0,Grover Sweets
" Sector 14, Gurgaon",372.0,4.0,1270.0,https://www.zomato.com/ncr/singh-chicken-fish-corner-sector-14,"Opposite HUDA Office, Old Delhi Road, Sector 14, Gurgaon",28.47810025,77.04652268,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Soya Chaap, Spring Roll, Garlic Naan, Butter Chicken, Cheesecake, Dal Makhani | Cashless Payments, Ambience was Super Cool, Inexpensive, Affordable Prices, Bar, Environment",Singh Chicken & Fish Corner,9.19999E+11,650.0,"North Indian, Mughlai, Seafood",4.0,Singh Chicken & Fish Corner
" Vasant Square Mall, Vasant Kunj, New Delhi",93.0,4.5,186.0,https://www.zomato.com/ncr/kaps-restro-bar-cafe-vasant-kunj-new-delhi,"Shop 41, Ground Floor, Vasant Square Mall, Vasant Kunj, New Delhi",28.52480578,77.15665285,,Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Parking Available, Full Bar Available, Serves Alcohol]",,"Truffle Shake, Paneer Patty Burger, Fish Platter, Bbq Pizza, Pancake, Waffles | Bang for the Buck, Office Crowd, Delivery on Time, Quality of Food, Cozy Ambiance, Cute Little Place",KAP's Restro Bar & Cafe,9.18826E+11,1200.0,"North Indian, Chinese, Mughlai, Fast Food, Finger Food, Beverages",4.0,KAP's Restro Bar & Cafe
" Safdarjung, New Delhi",1160.0,3.8,28100.0,https://www.zomato.com/ncr/six-degree-safdarjung-new-delhi,"Shop 3, B 6, Shopping Center, Safdarjung Enclave, Safdarjung, New Delhi",28.55904951,77.1965212,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Poori Chole, Chole Bhatoorey, Dosa Sambar, Rabri Faluda, Noodle, Chowmein | Elegantly Decorated, Fast Service, Good Packaging, Fast Delivery, Polite Staff, Good Quantity",Six Degree,9.19583E+11,900.0,"Chinese, North Indian, Mughlai",4.0,Six Degree
" Krishna Nagar, New Delhi",584.0,4.0,22500.0,https://www.zomato.com/ncr/super-snacks-krishna-nagar-new-delhi,"D3/1, Main Market, Krishna Nagar, New Delhi",28.65961978,77.27946684,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Belgian Fries, Nutella Waffle, Waffles, Icecream, Ice Cream, Cake | Great Fragrance, Totally Worth it, Good Options, Spill Proof Packaging, Wonderful Presentation, Best Place",Super Snacks,9.17012E+11,500.0,"South Indian, Chinese, North Indian",4.0,Super Snacks
" Sector 50, Noida",206.0,4.2,6808.0,https://www.zomato.com/ncr/the-belgian-waffle-co-sector-50-noida,"B-1/19, Main Market, Sector 50, Noida",28.570642,77.362044,,Dessert/Bakery,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining, Full Bar Available, Serves Alcohol]",,"Blueberry Yogurt, Grilled Chicken Meal, Smoothies, Omelette, Juice, Pancakes | Healthy Options, Cozy Ambiance, Nice Crowd, Healthy Food, Low Price, Polite Staff",The Belgian Waffle Co.,9.19312E+11,300.0,"Desserts, Beverages",4.0,The Belgian Waffle Co.
" Good Earth City Center, Sector 50, Gurgaon",343.0,3.9,3345.0,https://www.zomato.com/ncr/the-calorie-kitchen-sector-50,"2nd Floor, Good Earth City Center, Sector 50, Gurgaon",28.42127893,77.05319837,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment]",,"Casual Seating Area, Cute Little Place, Polite Staff, Reasonable Prices, Prompt Service, Timely Service, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment",The Calorie Kitchen,9.188E+11,700.0,"Healthy Food, Continental, Modern Indian",4.0,The Calorie Kitchen
" Jasola, New Delhi",181.0,4.0,1076.0,https://www.zomato.com/ncr/zahra-restaurant-cafe-jasola-new-delhi,"Shop 84, Tikona Park, Jamia Nagar, Jasola, New Delhi",28.56236562,77.28842139,,Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Full Bar Available, Serves Alcohol]",,Good Food and Service,Zahra Restaurant & Cafe,9.17504E+11,500.0,"North Indian, Beverages",4.0,Zahra Restaurant & Cafe
" JW Marriott New Delhi, New Delhi",132.0,,0.0,https://www.zomato.com/ncr/jw-lounge-jw-marriott-new-delhi-aerocity-new-delhi,"Asset Area 4, Hospitality District, Aerocity, New Delhi",28.5532147,77.1219995,,Bar/Lounge,"[Air Conditioning, Credit Card Accepted, Full Bar Available, Serves Alcohol, WiFi, Live Entertainment, Valet Available, Digital Wallet Accepted, Amex Accepted, Wheelchair Accessible]",,"Cheese Cigars, Chicken Tenders, Panneer Butter Masala, Panner Tikka, Daal Makhni, Spring Roll | Ample Seating Area, Packed on Weekends, Seating Arrangement, Main Course, Presentation, Decor, Air Conditioning, Credit Card Accepted, Full Bar Available, Serves Alcohol, WiFi, Live Entertainment, Valet Available, Digital Wallet Accepted, Amex Accepted, Wheelchair Accessible",JW Lounge - JW Marriott New Delhi,9.11145E+11,2500.0,"North Indian, Continental",4.0,JW Lounge
" Karol Bagh, New Delhi",177.0,3.0,191.0,https://www.zomato.com/ncr/social-affaire-1-karol-bagh-new-delhi,"17A/12, Ground Floor, Pusa Road, Near Metro Pillar 98, 99, Karol Bagh, New Delhi",28.64516653,77.1902911,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible]",,"Portions, Main Course, Great Food, Good Food, Menu, Staff, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible",Social Affaire,9.2E+11,2100.0,"Continental, American, Italian, North Indian, Chinese, Thai",4.0,Social Affaire
" Greater Kailash 3 (GK3), New Delhi",183.0,4.1,3052.0,https://www.zomato.com/ncr/panda-wokk-greater-kailash-gk-3-new-delhi,"23-24, Near HDFC Bank, Masjid Moth, Greater Kailash 3 (GK 3), New Delhi",28.53768361,77.23914854,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Lip Smacking Food, Economical, Reasonable Prices, Tasty Food, Seating, Good Service",Panda Wokk,9.11141E+11,1000.0,"Chinese, Thai, Seafood",4.0,Panda Wokk
" Rohini, New Delhi",350.0,4.1,10300.0,https://www.zomato.com/ncr/nivetha-dosa-corner-rohini-new-delhi,"Shop 349, Block A 1, Dividing Road 6 &7, Rohini, New Delhi",28.70840142,77.11131312,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Cashless Payments, Best Staff, Customizable Dishes, Weekend Brunch, Good Music, Recommended Place",Nivetha Dosa Corner,9.19081E+11,200.0,"South Indian, Chinese",4.0,Nivetha Dosa Corner
" East of Kailash, New Delhi",135.0,,10.0,https://www.zomato.com/ncr/urban-room-east-of-kailash-new-delhi,"F-39, Block F, East of Kailash, New Delhi",28.55519822,77.24316716,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available]",,"Chinese, Portions, Courteous Staff, Decor, Main Course, Best Place, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available",Urban Room,9.17043E+11,1600.0,"Modern Indian, North Indian",4.0,Urban Room
" South Extension 2, New Delhi",403.0,,1.0,https://www.zomato.com/ncr/daitchi-south-extension-2-new-delhi,"E-19-A, Main Market, South Extension 2, New Delhi",28.56812445,77.21980345,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment]",,"Veg Fish, Achari Chaap Roll, Tandoori Chaap, Masala Chaap, Roomali Roti, Keema | Elegantly Decorated, Pocket Friendly, Good Crowd, Polite Staff, Quick Service, Owner, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment",Daitchi,9.11126E+11,1100.0,"Chinese, Japanese, North Indian, Goan",4.0,Daitchi
" Subhash Nagar, New Delhi",549.0,3.8,4687.0,https://www.zomato.com/ncr/sardarji-malai-chaap-wale-subhash-nagar-new-delhi,"Shop 7, Subhash Nagar, New Delhi",28.63783116,77.11353801,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Best Location, Live Singing, Rooftop, Singer, Awesome Music, Cosy Place",Sardarji Malai Chaap Wale,9.19314E+11,300.0,"North Indian, Rolls",4.0,Sardarji Malai Chaap Wale
" SDA Market, SDA, New Delhi",865.0,,3.0,https://www.zomato.com/ncr/typsy-crow-sda-new-delhi,"C 8, 2nd Floor, SDA Market, SDA, New Delhi",28.54677953,77.19706569,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available, Full Bar Available, Serves Alcohol]",,Good Food and Service,Typsy Crow,9.11142E+11,1000.0,"North Indian, Italian, Pizza, Chinese, Continental, Beverages",4.0,Typsy Crow
" Le Meridien, Janpath, New Delhi",153.0,,0.0,https://www.zomato.com/ncr/longitude-le-meridien-janpath-new-delhi,"Le Meridien, Windsor Place, Janpath, New Delhi",28.61874044,77.21868865,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible]",,"Tandoori Pasta, Red Pasta, Farm Fresh Pizza, Mixed Sauce Pasta, Margarita Pizza, Cheese Garlic Bread | Cute Little Place, Low Price, Pocket Friendly, Great Recommendations, Good Crowd, Prompt Service, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible",Longitude - Le Meridien,9.18448E+11,2000.0,Cafe,4.0,Longitude
" Vasundhara, Ghaziabad",271.0,4.2,8600.0,https://www.zomato.com/ncr/white-hart-pizza-vasundhara-ghaziabad,"Near Agrasen Chowk, Vasundhara, Ghaziabad",28.65313395,77.35373586,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining]",,"Location, Courteous Staff, Main Course, Great Place, Good Food, Ambience",White Hart Pizza,9.1991E+11,400.0,"Pizza, Fast Food, Desserts",4.0,White Hart Pizza
" Sunder Nagar, New Delhi",175.0,,0.0,https://www.zomato.com/ncr/basil-thyme-sunder-nagar-new-delhi,"28, Sunder Nagar Market, Sunder Nagar, New Delhi",28.60117488,77.24143211,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible]",,"Meat Curry, Keema Kaleji, Mutton Biryani, Briyani, Chicken Biryani, Spicy Food | Office Crowd, Low Price, Great Recommendations, Polite Staff, Decent Place, Excellent Food, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible",Basil & Thyme,9.11144E+11,2200.0,"Continental, European",4.0,Basil & Thyme
" Connaught Place, New Delhi",933.0,,1.0,https://www.zomato.com/ncr/anand-restaurant-connaught-place-new-delhi,"15/96, Scindia House, Connaught Place, New Delhi",28.62902386,77.22092293,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Gobhi Samosa, Matar Samosa, Raj Kachori, Gulab Jamun, Sweets | Cordial Staff, Good Portions, Prompt Service, Good Place, Price, Quality",Anand Restaurant,9.11123E+11,500.0,"North Indian, Mughlai, Biryani",4.0,Anand
" Chandni Chowk, New Delhi",348.0,4.2,18.0,https://www.zomato.com/ncr/kanwarjis-chandni-chowk-new-delhi,"1972-1973, Corner Gali Paranthe, Opposite Central Bank, Chandni Chowk, New Delhi",28.65631881,77.2306855,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Mughlai Food, Chicken Curry, Fish Tikka, Tandoori Chicken | Family Restaurant, Friendly Service, Comfortable Seating, Excellent Food, Excellent Service, Portion Size",Kanwarji's,9.11165E+11,300.0,"Street Food, Chinese, North Indian, Mithai",4.0,Kanwarji's
" M Block Market, Greater Kailash 1 (GK1), New Delhi",379.0,4.2,1531.0,https://www.zomato.com/ncr/new-minar-greater-kailash-gk-1-new-delhi,"M-65, M Block Market, Greater Kailash (GK 1), New Delhi",28.55088087,77.23437589,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Gun Powder Dosa, Plain Masala Dosa, Vada Sambar, Raj Kachori, Spring Roll | Good for Large Groups, Ample Seating Area, Family Place, Family Crowd, Interior, Environment",New Minar,9.1981E+11,1300.0,"North Indian, Mughlai",4.0,New Minar
" Vaishali, Ghaziabad",332.0,3.9,1112.0,https://www.zomato.com/ncr/ds-dosa-factory-vaishali-ghaziabad,"Plot 1, Ground Floor, Near Mahagun Mall, Vaishali, Ghaziabad",28.64413727,77.33473442,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available]",,"Aloo Poori, Rabri Faluda, Matar Kulcha, Raj Kachori, Idli, Dosa | Bang for the Buck, Cute Little Place, Good Crowd, Comfort Food, Low Price, Great Ambiance",Ds Dosa Factory,9.19811E+11,700.0,"South Indian, Chinese, North Indian",4.0,Ds Dosa Factory
" Vasundhara, Ghaziabad",357.0,4.0,15700.0,https://www.zomato.com/ncr/shyam-dairy-1-vasundhara-ghaziabad,"21/22, Sector 15 C, Near Atal Chowk, Vasundhara, Ghaziabad",28.65527348,77.35957202,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Full Bar Available, Serves Alcohol, Family Dining]",,"Pocket Friendly, Polite Staff, Packing, Food Quality, Prices, Value for Money",Shyam Dairy,9.19872E+11,450.0,"North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai, Desserts, Beverages",4.0,Shyam Dairy
" Sector 15, Faridabad",407.0,4.2,5262.0,https://www.zomato.com/ncr/anupam-sweet-sector-15-faridabad,"SCF 74, Sector 15 Market, Sector 15, Faridabad",28.3948816,77.32219577,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Good Portions, Polite Staff, Price, Ambience, Experience, Quality",Anupam Sweet,9.11294E+11,400.0,"Chinese, South Indian, Street Food, Mithai",4.0,Anupam Sweet
" Karampura, New Delhi",172.0,3.9,95.0,https://www.zomato.com/ncr/rajindra-refreshment-corner-karampura-new-delhi,"Opposite Milan Cinema, Karampura, New Delhi",28.66230844,77.14657713,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Weekend Brunch, Good Wifi, Elaborate Menu, Student Crowd, Customizable Food, Fresh Food",Rajindra Refreshment Corner,9.2E+11,150.0,"North Indian, Street Food",4.0,Rajindra Refreshment Corner
" Sector 62, Noida",195.0,3.4,131.0,https://www.zomato.com/ncr/tasty-mornings-sector-62-noida,"RN34, Block B, Sector 62, Noida",28.6188359,77.3705141,,Casual Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Family Dining, Digital Wallet Accepted, Parking Available, Takeaway Available, Full Bar Available, Serves Alcohol]",,"Chingri Pulao, Kasha Mangsho, Bhetki Paturi, Authentic Bengali Food, Thali, Biryani | Bengali Music, Ample Seating Area, Authenticity, Serving Size, Courteous Staff, Excellent Food",Tasty Mornings,9.19819E+11,500.0,"North Indian, Chinese, Sandwich, Burger, Healthy Food, Beverages",4.0,Tasty Mornings
" Good Earth City Center, Sector 50, Gurgaon",293.0,3.9,1610.0,https://www.zomato.com/ncr/bijoli-grill-sector-50,"Shop 156/143, Good Earth City Center, Opposite Malibu Town, Sector 50, Gurgaon",28.42122585,77.0531692,"Bijoli Grill is a chain of Casual Dining restaurants where a group of friends or families can come and enjoy Bengali and Chinese delicacies. The economical menu caters to people of different age-groups. A simple and cozy ambiance and quality food are what they offer. Whether it is lunch or dinner, Bijoli Grill serves them all and one can get a variety of choices and that too of great taste. The restaurant has a few outlets spread in India. This outlet is located in Connaught Place, Delhi. Read less",Casual Dining,,,"Breakfast, Quick Service, Preparation, Value for Money, Packaging, Taste",Bijoli Grill,9.11244E+11,800.0,"Bengali, Chinese, Rolls",4.0,Bijoli Grill
" Rajinder Nagar, New Delhi",208.0,4.3,1533.0,https://www.zomato.com/ncr/standard-corner-rajinder-nagar-new-delhi,"99, Old Rajinder Nagar, Near Rajinder Nagar, New Delhi",28.64022759,77.18503028,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Customizations Available, Plenty of Vegetarian Options, Chirpy Crowd, Economical, Cozy Ambiance, Cordial Staff",Standard Corner,9.11126E+11,150.0,North Indian,4.0,Standard Corner
" Mayur Vihar Phase 1, New Delhi",336.0,4.1,13600.0,https://www.zomato.com/ncr/pizza-vizza-mayur-vihar-new-delhi,"B-14, Shop 2, Ground Floor, Acharya Niketan, Mayur Vihar Phase 1, New Delhi",28.60775,77.294304,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Lime Mojito, Tandoori Fries, Peri Fries, Oreo Shake, Shakes, Pizzas | Cozy Ambiance, Economical, Live Kitchen, Not very Crowded, Pocket Friendly, Polite Staff",Pizza Vizza,9.2E+11,500.0,"Pizza, Fast Food",4.0,Pizza Vizza
" Delhi University-GTB Nagar, New Delhi",254.0,3.9,110.0,https://www.zomato.com/ncr/love-grill-delhi-university-gtb-nagar-new-delhi,"Shop 1, CSC DDA Market, Hudson Lane, Delhi University-GTB Nagar, New Delhi",28.69446,77.20517,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Full Bar Available, Serves Alcohol]",,"Get a complimentary night, earn up to 50% of spends as points at 250+ restaurants & much more. Know more",Love Grill,9.17835E+11,700.0,"Italian, Fast Food, Beverages",4.0,Love Grill
" Ambassador, Khan Market, New Delhi",216.0,,0.0,https://www.zomato.com/ncr/larrys-china-ambassador-khan-market-new-delhi,"Ambassador, Subramania Bharti Marg, Sujan Singh Park, Khan Market, New Delhi",28.60005541,77.22600807,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining]",,"Bengali Sweets, Dhokla, Golgappe, Pao Bhaji, Chaat, Chole Bhature | Good for Families, Street Food, Clean, Family Restaurant, Breakfast, Best Places, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining",Larry's China - Ambassador,9.11166E+11,4000.0,"Chinese, Seafood, Desserts",4.0,Larry's China
